timestamp,test,cross_track error
1744828421.2475727,medium,0.0
1744828421.2506657,medium,0.0
1744828421.266597,medium,0.0
1744828421.2865672,medium,0.0
1744828421.3067272,medium,0.0
1744828421.32846,medium,0.0
1744828421.3864524,medium,0.0
1744828421.3920395,medium,0.0
1744828421.4078226,medium,0.0
1744828421.4275246,medium,0.0
1744828421.447253,medium,0.0
1744828421.4680898,medium,0.0
1744828421.4867349,medium,0.0
1744828421.5077474,medium,0.0
1744828421.5295978,medium,0.0
1744828421.5462081,medium,0.0
1744828421.5662143,medium,0.0
1744828421.5866396,medium,0.0
1744828421.6062825,medium,0.0
1744828421.626113,medium,0.0
1744828421.6470149,medium,0.0
1744828421.6669207,medium,0.0
1744828421.68642,medium,0.0
1744828421.7097547,medium,0.0
1744828421.726367,medium,0.0
1744828421.7472188,medium,0.0
1744828421.7678723,medium,0.0
1744828421.7898495,medium,0.0
1744828421.8080318,medium,0.0
1744828421.8265839,medium,0.0
1744828421.8504038,medium,0.0
1744828421.8676,medium,0.0
1744828421.8879576,medium,0.0
1744828421.9059093,medium,0.0
1744828421.9336784,medium,0.0
1744828421.946812,medium,0.0
1744828421.9659486,medium,0.0
1744828421.9859567,medium,0.0
1744828422.0061147,medium,0.0
1744828422.028061,medium,0.0
1744828422.0462172,medium,0.0
1744828422.066405,medium,0.0
1744828422.089323,medium,0.0
1744828422.105919,medium,0.0
1744828422.1258917,medium,0.0
1744828422.1483943,medium,0.0
1744828422.1669,medium,0.0
1744828422.1922898,medium,0.0
1744828422.208209,medium,0.0
1744828422.2339282,medium,0.0
1744828422.2462354,medium,0.0
1744828422.273556,medium,0.0
1744828422.2954295,medium,0.0
1744828422.3060718,medium,0.0
1744828422.3353584,medium,0.0
1744828422.3533356,medium,0.0
1744828422.3704028,medium,0.0
1744828422.3880894,medium,0.0
1744828422.4196448,medium,0.0
1744828422.4265246,medium,0.0
1744828422.4515865,medium,0.0
1744828422.4668627,medium,0.0
1744828422.4888132,medium,0.0
1744828422.5066228,medium,0.0
1744828422.529506,medium,0.0
1744828422.5584207,medium,0.0
1744828422.5689435,medium,0.0
1744828422.5869093,medium,0.0
1744828422.6269984,medium,0.0
1744828422.6503725,medium,0.0
1744828422.6700356,medium,0.0
1744828422.6888177,medium,0.0
1744828422.707219,medium,0.0
1744828422.7285416,medium,0.0
1744828422.747826,medium,0.0
1744828422.7665231,medium,0.0
1744828422.7861817,medium,0.0
1744828422.8076413,medium,0.0
1744828422.8265252,medium,0.0
1744828422.8463979,medium,0.0
1744828422.8680172,medium,0.0
1744828422.8868222,medium,0.0
1744828422.9063346,medium,0.0
1744828422.9260216,medium,0.0
1744828422.9462159,medium,0.0
1744828422.9673529,medium,0.0
1744828422.986396,medium,0.0
1744828423.0074842,medium,0.0
1744828423.028864,medium,0.0
1744828423.0459645,medium,0.0
1744828423.0675604,medium,0.0
1744828423.0863461,medium,0.0
1744828423.1065161,medium,0.0
1744828423.127684,medium,0.0
1744828423.1459215,medium,0.0
1744828423.1660657,medium,0.0
1744828423.1860173,medium,0.0
1744828423.2056866,medium,0.0
1744828423.2258432,medium,0.0
1744828423.2497954,medium,0.0
1744828423.2660577,medium,0.0
1744828423.2861307,medium,0.0
1744828423.3057044,medium,0.0
1744828423.3272188,medium,0.0
1744828423.3458817,medium,0.0
1744828423.3697317,medium,0.0
1744828423.389249,medium,0.0
1744828423.406264,medium,0.0
1744828423.4261978,medium,0.0
1744828423.446953,medium,0.0
1744828423.4660866,medium,0.0
1744828423.4862616,medium,0.0
1744828423.5079935,medium,0.0
1744828423.5259266,medium,0.0
1744828423.5462332,medium,0.0
1744828423.5720842,medium,0.0
1744828423.5861287,medium,0.0
1744828423.606751,medium,0.0
1744828423.6260393,medium,0.0
1744828423.646122,medium,0.0
1744828423.666954,medium,0.0
1744828423.6859658,medium,0.0
1744828423.7064161,medium,0.0
1744828423.7304668,medium,0.0
1744828423.745908,medium,0.0
1744828423.7671967,medium,0.0
1744828423.7868285,medium,0.0
1744828423.8070002,medium,0.0
1744828423.8290555,medium,0.0
1744828423.8457289,medium,0.0
1744828423.8664305,medium,0.0
1744828423.8887396,medium,0.0
1744828423.9057705,medium,0.0
1744828423.9257889,medium,0.0
1744828423.9482415,medium,0.0
1744828423.9670873,medium,0.0
1744828423.9863048,medium,0.0
1744828424.005916,medium,0.0
1744828424.0258486,medium,0.0
1744828424.0482802,medium,0.0
1744828424.0656922,medium,0.0
1744828424.086342,medium,0.0
1744828424.1102767,medium,0.0
1744828424.1363277,medium,0.0
1744828424.147412,medium,0.0
1744828424.166805,medium,0.0
1744828424.1897585,medium,0.0
1744828424.2064013,medium,0.0
1744828424.228654,medium,0.0
1744828424.254892,medium,0.0
1744828424.2759347,medium,0.0
1744828424.298401,medium,0.0
1744828424.3071532,medium,0.0
1744828424.3362918,medium,0.0
1744828424.3459442,medium,0.0
1744828424.4116158,medium,0.0
1744828424.426604,medium,0.0
1744828424.4462504,medium,0.0
1744828424.4703252,medium,0.0
1744828424.4985132,medium,0.0
1744828424.5065584,medium,0.0
1744828424.5262103,medium,0.0
1744828424.5498183,medium,0.0
1744828424.5677316,medium,0.0
1744828424.58676,medium,0.0
1744828424.6118371,medium,0.0
1744828424.627106,medium,0.0
1744828424.6587856,medium,0.0
1744828424.6672084,medium,0.0
1744828424.6905017,medium,0.0
1744828424.731052,medium,0.0
1744828424.7381213,medium,0.0
1744828424.7489116,medium,0.0
1744828424.7805703,medium,0.0
1744828424.8133903,medium,0.0
1744828424.8143032,medium,0.0
1744828424.8277838,medium,0.0
1744828424.858839,medium,0.0
1744828424.8674803,medium,0.0
1744828424.893396,medium,0.0
1744828424.9076917,medium,0.0
1744828424.9281204,medium,0.0
1744828424.9518805,medium,0.0
1744828424.9686532,medium,0.0
1744828424.9883287,medium,0.0
1744828425.0065508,medium,0.0
1744828425.0274038,medium,0.0
1744828425.05037,medium,0.0
1744828425.069415,medium,0.0
1744828425.0877671,medium,0.0
1744828425.1094685,medium,0.0
1744828425.1355171,medium,0.0
1744828425.1791043,medium,0.0
1744828425.1865652,medium,0.0
1744828425.2081695,medium,0.0
1744828425.2272036,medium,0.0
1744828425.2567146,medium,0.0
1744828425.266942,medium,0.0
