timestamp,algorithm,test,time
1744788033,a_star,medium,9.961864948272705
1744788052,a_star,medium,7.77509331703186
1744788071,a_star,medium,7.803600311279297
1744788086,a_star,medium,8.307624816894531
1744788105,a_star,medium,8.561118602752686
1744788146,a_star,medium,7.949077844619751
1744788159,a_star,medium,8.297317266464233
1744788228,a_star,medium,8.253209352493286
1744788284,a_star,medium,8.416391611099243
1744788297,a_star,medium,8.432353019714355
1744788317,a_star,medium,8.375210046768188
1744788330,a_star,medium,8.027242183685303
