timestamp,test,cross_track error
1744818718.9021876,long,0.0
1744818718.9164565,long,0.0
1744818718.937927,long,0.0
1744818718.9568715,long,0.0
1744818718.9764574,long,0.0
1744818718.9981947,long,0.0
1744818719.0163422,long,0.0
1744818719.0362597,long,0.0
1744818719.0563636,long,0.0
1744818719.0762703,long,0.0
1744818719.097503,long,0.0
1744818719.1174037,long,0.0
1744818719.1449103,long,0.0
1744818719.169355,long,0.0
1744818719.1938818,long,0.0
1744818719.1982598,long,0.0
1744818719.2210448,long,0.0
1744818719.2372828,long,0.0
1744818719.2565253,long,0.0
1744818719.276596,long,0.0
1744818719.2957456,long,0.0
1744818719.3290436,long,0.0
1744818719.3371408,long,0.0
1744818719.35734,long,0.0
1744818719.3771322,long,0.0
1744818719.3996217,long,0.0
1744818719.4174848,long,0.0
1744818719.4364913,long,0.0
1744818719.459937,long,0.0
1744818719.4764595,long,0.0
1744818719.4974751,long,0.0
1744818719.5201845,long,0.0
1744818719.5374942,long,0.0
1744818719.559485,long,0.0
1744818719.576279,long,0.0
1744818719.5973313,long,0.0
1744818719.6240516,long,0.0
1744818719.6417205,long,0.0
1744818719.6589422,long,0.0
1744818719.6764681,long,0.0
1744818719.6967242,long,0.0
1744818719.719991,long,0.0
1744818719.7367184,long,0.0
1744818719.7568665,long,0.0
1744818719.7829125,long,0.0
1744818719.7964916,long,0.0
1744818719.816622,long,0.0
1744818719.836737,long,0.0
1744818719.8562498,long,0.0
1744818719.876568,long,0.0
1744818719.8965192,long,0.0
1744818719.9165652,long,0.0
1744818719.9364238,long,0.0
1744818719.9566717,long,0.0
1744818719.9771173,long,0.0
1744818719.9968839,long,0.0
1744818720.0169437,long,0.0
1744818720.0429552,long,0.0
1744818720.0565624,long,0.0
1744818720.0773983,long,0.0
1744818720.0986078,long,0.0
1744818720.116321,long,0.0
1744818720.1377997,long,0.0
1744818720.156533,long,0.0
1744818720.176261,long,0.0
1744818720.197241,long,0.0
1744818720.216587,long,0.0
1744818720.2363968,long,0.0
1744818720.2567377,long,0.0
1744818720.2777436,long,0.0
1744818720.2967825,long,0.0
1744818720.3167255,long,0.0
1744818720.3374674,long,0.0
1744818720.3563786,long,0.0
1744818720.3763535,long,0.0
1744818720.3966382,long,0.0
1744818720.420894,long,0.0
1744818720.4364922,long,0.0
1744818720.4564245,long,0.0
1744818720.4768703,long,0.0
1744818720.4968133,long,0.0
1744818720.5197752,long,0.0
1744818720.5367792,long,0.0
1744818720.5575273,long,0.0
1744818720.5768437,long,0.0
1744818720.596236,long,0.0
1744818720.6165237,long,0.0
1744818720.6364381,long,0.0
1744818720.6557586,long,0.0
1744818720.678105,long,0.0
1744818720.6963682,long,0.0
1744818720.7170224,long,0.0
1744818720.7363172,long,0.0
1744818720.756363,long,0.0
1744818720.7764523,long,0.0
1744818720.7971275,long,0.0
1744818720.816958,long,0.0
1744818720.836472,long,0.0
1744818720.8562295,long,0.0
1744818720.8763263,long,0.0
1744818720.8969815,long,0.0
1744818720.9167202,long,0.0
1744818720.9375782,long,0.0
1744818720.9562755,long,0.0
1744818720.9760134,long,0.0
1744818720.9974325,long,0.0
1744818721.0163715,long,0.0
1744818721.0370553,long,0.0
1744818721.0565355,long,0.0
1744818721.0841296,long,0.0
1744818721.1024082,long,0.0
1744818721.1214678,long,0.0
1744818721.151033,long,0.0
1744818721.1581757,long,0.0
1744818721.1765592,long,0.0
1744818721.1981003,long,0.0
1744818721.2170813,long,0.0
1744818721.2373068,long,0.0
1744818721.25657,long,0.0
1744818721.2760358,long,0.0
1744818721.2976732,long,0.0
1744818721.3347225,long,0.0
1744818721.3374412,long,0.0
1744818721.3584907,long,0.0
1744818721.376429,long,0.0
1744818721.3964188,long,0.0
1744818721.4156504,long,0.0
1744818721.4365606,long,0.0
1744818721.4572809,long,0.0
1744818721.476432,long,0.0
1744818721.496504,long,0.0
1744818721.5164826,long,0.0
1744818721.536496,long,0.0
1744818721.5564394,long,0.0
1744818721.5767238,long,0.0
1744818721.596565,long,0.0
1744818721.6221197,long,0.0
1744818721.6363611,long,0.0
1744818721.6606123,long,0.0
1744818721.6790028,long,0.0
1744818721.7023647,long,0.0
1744818721.7205906,long,0.0
1744818721.73757,long,0.0
1744818721.7564077,long,0.0
1744818721.7792993,long,0.0
1744818721.797326,long,0.0
1744818721.816627,long,0.0
1744818721.8371265,long,0.0
1744818721.8563929,long,0.0
1744818721.8784196,long,0.0
1744818721.896697,long,0.0
1744818721.9171617,long,0.0
1744818721.9381356,long,0.0
1744818721.9565825,long,0.0
1744818721.976373,long,0.0
1744818721.9971843,long,0.0
1744818722.0167015,long,0.0
1744818722.0365763,long,0.0
1744818722.0567627,long,0.0
1744818722.0767462,long,0.0
1744818722.0990686,long,0.0
1744818722.1164854,long,0.0
1744818722.136896,long,0.0
1744818722.1567957,long,0.0
1744818722.1765811,long,0.0
1744818722.1969728,long,0.0
1744818722.2167358,long,0.0
1744818722.236297,long,0.0
1744818722.2574446,long,0.0
1744818722.276295,long,0.0
1744818722.2963154,long,0.0
1744818722.316465,long,0.0
1744818722.3363974,long,0.0
1744818722.3565092,long,0.0
1744818722.3772347,long,0.0
1744818722.396325,long,0.0
1744818722.4180095,long,0.0
1744818722.4366558,long,0.0
1744818722.4564078,long,0.0
1744818722.4802601,long,0.0
1744818722.4962904,long,0.0
1744818722.5165672,long,0.0
1744818722.5356379,long,0.0
1744818722.5566354,long,0.0
1744818722.5776546,long,0.0
1744818722.596147,long,0.0
1744818722.6166954,long,0.0
1744818722.6364899,long,0.0
1744818722.656676,long,0.0
1744818722.676386,long,0.0
1744818722.6963725,long,0.0
1744818722.7168472,long,0.0
1744818722.7368202,long,0.0
1744818722.7564542,long,0.0
1744818722.7763546,long,0.0
1744818722.800151,long,0.0
1744818722.8163326,long,0.0
1744818722.8364637,long,0.0
1744818722.8564005,long,0.0
1744818722.8766942,long,0.0
1744818722.89672,long,0.0
1744818722.9163415,long,0.0
1744818722.9363928,long,0.0
1744818722.9563706,long,0.0
1744818722.976322,long,0.0
1744818722.9964545,long,0.0
1744818723.0172226,long,0.0
1744818723.0365384,long,0.0
1744818723.0583632,long,0.0
1744818723.076396,long,0.0
1744818723.0964534,long,0.0
1744818723.121877,long,0.0
1744818723.1363223,long,0.0
1744818723.1564114,long,0.0
1744818723.17647,long,0.0
1744818723.1974216,long,0.0
1744818723.2191699,long,0.0
1744818723.236344,long,0.0
1744818723.2569337,long,0.0
1744818723.2781072,long,0.0
1744818723.2971108,long,0.0
1744818723.3175726,long,0.0
1744818723.3363688,long,0.0
1744818723.3564603,long,0.0
1744818723.3769884,long,0.0
1744818723.3964963,long,0.0
1744818723.4165378,long,0.0
1744818723.4362993,long,0.0
1744818723.457425,long,0.0
1744818723.4784868,long,0.0
1744818723.4964528,long,0.0
1744818723.5185032,long,0.0
1744818723.541872,long,0.0
1744818723.5596118,long,0.0
