timestamp,algorithm,test,time
1744787754,a_star,short,3.3653464317321777
1744787787,a_star,short,2.79997181892395
1744787815,a_star,short,2.7148349285125732
1744787825,a_star,short,2.704228639602661
1744787844,a_star,short,2.6872944831848145
1744787869,a_star,short,2.701475143432617
1744787889,a_star,short,2.704430103302002
1744787905,a_star,short,2.923896312713623
1744787931,a_star,short,3.234550714492798
1744787943,a_star,short,2.6829276084899902
1744788369,a_star,short,2.682589292526245
1744788389,a_star,short,2.721256732940674
