timestamp,test,cross_track error
1744815576.0809777,short,0.0
1744815576.1049917,short,0.0
1744815576.1259894,short,0.0
1744815576.1401744,short,0.0
1744815576.160152,short,0.0
1744815576.1802626,short,0.0
1744815576.2014272,short,0.0
1744815576.2199874,short,0.0
1744815576.241195,short,0.0
1744815576.2664108,short,0.0
1744815576.281213,short,0.0
1744815576.3019953,short,0.0
1744815576.320423,short,0.0
1744815576.3402085,short,0.0
1744815576.361102,short,0.0
1744815576.3804646,short,0.0
1744815576.3999593,short,0.0
1744815576.4253318,short,0.0
1744815576.4401565,short,0.0
1744815576.4601543,short,0.0
1744815576.481105,short,0.0
1744815576.500341,short,0.0
1744815576.5206006,short,0.0
1744815576.5401862,short,0.0
1744815576.5611742,short,0.0
1744815576.5812237,short,0.0
1744815576.600118,short,0.0
1744815576.6203105,short,0.0
1744815576.6403034,short,0.0
1744815576.6600113,short,0.0
1744815576.7000768,short,0.0
1744815576.701444,short,0.0
1744815576.7206535,short,0.0
1744815576.7584333,short,0.0
1744815576.7621593,short,0.0
1744815576.7837489,short,0.0
1744815576.8015883,short,0.0
1744815576.820828,short,0.0
1744815576.8402982,short,0.0
1744815576.8603485,short,0.0
1744815576.8815618,short,0.0
1744815576.900369,short,0.0
1744815576.9217014,short,0.0
1744815576.9394412,short,0.0
1744815576.9616072,short,0.0
1744815576.980223,short,0.0
1744815577.000161,short,0.0
1744815577.0230799,short,0.0
1744815577.0403304,short,0.0
1744815577.0601687,short,0.0
1744815577.0802777,short,0.0
1744815577.1003714,short,0.0
1744815577.1223679,short,0.0
1744815577.1405199,short,0.0
1744815577.160662,short,0.0
1744815577.181025,short,0.0
1744815577.200081,short,0.0
1744815577.220035,short,0.0
1744815577.2401032,short,0.0
1744815577.2599783,short,0.0
1744815577.2805517,short,0.0
1744815577.3003402,short,0.0
1744815577.3212829,short,0.0
1744815577.3445225,short,0.0
1744815577.359946,short,0.0
1744815577.3801033,short,0.0
1744815577.3993535,short,0.0
1744815577.4201062,short,0.0
1744815577.4417129,short,0.0
1744815577.46019,short,0.0
1744815577.4801836,short,0.0
1744815577.5047424,short,0.0
1744815577.520117,short,0.0
1744815577.5402834,short,0.0
1744815577.5600736,short,0.0
1744815577.5800366,short,0.0
1744815577.6016712,short,0.0
1744815577.6225753,short,0.0
1744815577.6403441,short,0.0
1744815577.665058,short,0.0
1744815577.6800604,short,0.0
1744815577.7000813,short,0.0
1744815577.720264,short,0.0
1744815577.7400591,short,0.0
1744815577.7617886,short,0.0
1744815577.7801518,short,0.0
1744815577.8000412,short,0.0
1744815577.8201587,short,0.0
1744815577.8401327,short,0.0
1744815577.8981621,short,0.04437688940189284
1744815577.900604,short,0.030775461970361212
1744815577.9690633,short,0.03825096831471034
1744815577.9712043,short,0.05662437786156167
1744815577.987873,short,0.056704246241001635
1744815578.001197,short,0.056821879772440874
1744815578.0214868,short,0.05684274060242175
1744815578.0450323,short,0.05659559174547805
1744815578.0612276,short,0.056220206796775016
1744815578.0807126,short,0.05561937099008627
1744815578.1011,short,0.05481482374528559
1744815578.1227036,short,0.053777014894517305
1744815578.143584,short,0.05255741485176109
1744815578.160237,short,0.05147509223480265
1744815578.182197,short,0.04991677025997447
1744815578.203634,short,0.04845653240974958
1744815578.2209113,short,0.04677177035132085
1744815578.241065,short,0.04497579719403727
1744815578.2614229,short,0.04304536704752367
1744815578.2991064,short,0.040735348470848316
1744815578.3057656,short,0.039034724304668755
1744815578.349353,short,0.036180209472629066
1744815578.3517985,short,0.03419103586849759
1744815578.3667727,short,0.03227388861476262
1744815578.447606,short,0.026765257891787204
1744815578.4565399,short,0.021167911158522797
1744815578.465922,short,0.019425519547168767
1744815578.4831562,short,0.016777033835762394
1744815578.5011885,short,0.014307239091048196
1744815578.5222983,short,0.01156117086559332
1744815578.5412061,short,0.008788102010158505
1744815578.5611463,short,0.0061031947407483075
1744815578.5839913,short,0.0029328487453090103
1744815578.6010845,short,0.0003536790178495888
1744815578.6214378,short,-0.002541547633600522
1744815578.6422255,short,-0.005483843943091691
1744815578.661185,short,-0.008198324120575005
