timestamp,test,cross_track error
1744829692.983807,short,0.0
1744829692.992423,short,0.0
1744829693.0163853,short,0.0
1744829693.0324383,short,0.0
1744829693.065499,short,0.0
1744829693.086567,short,0.0
1744829693.0969539,short,0.0
1744829693.1247606,short,0.0
1744829693.152073,short,0.0
1744829693.179421,short,0.0
1744829693.1806412,short,0.0
1744829693.2062092,short,0.0
1744829693.2124143,short,0.0
1744829693.2325034,short,0.0
1744829693.2560325,short,0.0
1744829693.2727845,short,0.0
1744829693.3024917,short,0.0
1744829693.3138726,short,0.0
1744829693.3333054,short,0.0
1744829693.3620303,short,0.0
1744829693.3721235,short,0.0
1744829693.3921099,short,0.0
1744829693.415494,short,0.0
1744829693.4336135,short,0.0
1744829693.4526443,short,0.0
1744829693.4792619,short,0.0
1744829693.4931004,short,0.0
1744829693.514052,short,0.0
1744829693.5327017,short,0.0
1744829693.55283,short,0.0
1744829693.5730832,short,0.0
1744829693.5956311,short,0.0
1744829693.6133654,short,0.0
1744829693.63241,short,0.0
1744829693.652997,short,0.0
1744829693.6739616,short,0.0
1744829693.6943378,short,0.0
1744829693.7390714,short,0.0
1744829693.7530837,short,0.0
1744829693.7781506,short,0.0
1744829693.7943347,short,0.0
1744829693.8301039,short,0.0
1744829693.836073,short,0.0
1744829693.8564227,short,0.0
1744829693.8775294,short,0.0
1744829693.8965814,short,0.0
1744829693.9130108,short,0.0
1744829693.9372942,short,0.0
1744829693.9536464,short,0.0
1744829693.9736874,short,0.0
1744829694.0026999,short,0.0
1744829694.024236,short,0.0
1744829694.0366108,short,0.0
1744829694.0649316,short,0.0
1744829694.085843,short,0.0
1744829694.0935905,short,0.0
1744829694.1169262,short,0.0
1744829694.1320372,short,0.0
1744829694.153814,short,0.0
1744829694.1721206,short,0.0
1744829694.1926005,short,0.0
1744829694.2123456,short,0.0
1744829694.2412386,short,0.0
1744829694.253195,short,0.0
1744829694.2743304,short,0.0
1744829694.2929611,short,0.0
1744829694.3157911,short,0.0
