timestamp,test,cross_track error
1744815687.5097373,medium,0.0
1744815687.5218496,medium,0.0
1744815687.5420666,medium,0.0
1744815687.561722,medium,0.0
1744815687.5822034,medium,0.0
1744815687.6015308,medium,0.0
1744815687.6247866,medium,0.0
1744815687.6410644,medium,0.0
1744815687.6611118,medium,0.0
1744815687.6810892,medium,0.0
1744815687.7011747,medium,0.0
1744815687.7219481,medium,0.0
1744815687.7412684,medium,0.0
1744815687.7617967,medium,0.0
1744815687.7816632,medium,0.0
1744815687.8014565,medium,0.0
1744815687.8216202,medium,0.0
1744815687.8450925,medium,0.0
1744815687.861027,medium,0.0
1744815687.8816228,medium,0.0
1744815687.9009447,medium,0.0
1744815687.9216294,medium,0.0
1744815687.9444618,medium,0.0
1744815687.961156,medium,0.0
1744815687.9810462,medium,0.0
1744815688.0018325,medium,0.0
1744815688.0224295,medium,0.0
1744815688.041325,medium,0.0
1744815688.061142,medium,0.0
1744815688.0816612,medium,0.0
1744815688.1055493,medium,0.0
1744815688.1214747,medium,0.0
1744815688.14122,medium,0.0
1744815688.164407,medium,0.0
1744815688.1820765,medium,0.0
1744815688.201897,medium,0.0
1744815688.2240305,medium,0.0
1744815688.2417545,medium,0.0
1744815688.260367,medium,0.0
1744815688.2811148,medium,0.0
1744815688.301373,medium,0.0
1744815688.322203,medium,0.0
1744815688.3410082,medium,0.0
1744815688.3627234,medium,0.0
1744815688.382102,medium,0.0
1744815688.4016275,medium,0.0
1744815688.426165,medium,0.0
1744815688.4412606,medium,0.0
1744815688.4611933,medium,0.0
1744815688.4836786,medium,0.0
1744815688.5415137,medium,0.0
1744815688.5429006,medium,0.0
1744815688.562088,medium,0.0
1744815688.5871048,medium,0.0
1744815688.608517,medium,0.0
1744815688.6240518,medium,0.0
1744815688.641197,medium,0.0
1744815688.6630592,medium,0.0
1744815688.682308,medium,0.0
1744815688.7017906,medium,0.0
1744815688.7244513,medium,0.0
1744815688.7587328,medium,0.0
1744815688.7618742,medium,0.0
1744815688.787725,medium,0.0
1744815688.8022945,medium,0.0
1744815688.8229656,medium,0.0
1744815688.8411994,medium,0.0
1744815688.8614538,medium,0.0
1744815688.8856406,medium,0.0
1744815688.901054,medium,0.0
1744815688.92115,medium,0.0
1744815688.9411252,medium,0.0
1744815688.9611712,medium,0.0
1744815688.981478,medium,0.0
1744815689.002255,medium,0.0
1744815689.022145,medium,0.0
1744815689.0413785,medium,0.0
1744815689.0611527,medium,0.0
1744815689.0810168,medium,0.0
1744815689.1014082,medium,0.0
1744815689.1204576,medium,0.0
1744815689.1427152,medium,0.0
1744815689.161903,medium,0.0
1744815689.181651,medium,0.0
1744815689.2055032,medium,0.0
1744815689.2211492,medium,0.0
1744815689.2411067,medium,0.0
1744815689.261127,medium,0.0
1744815689.2808619,medium,0.0
1744815689.3031144,medium,0.0
1744815689.3214815,medium,0.0
1744815689.342228,medium,0.0
1744815689.366338,medium,0.0
1744815689.381196,medium,0.0
1744815689.4014106,medium,0.0
