timestamp,algorithm,test,time
1744788479,a_star,long,9.791624307632446
1744788500,a_star,long,9.50961971282959
1744788522,a_star,long,10.660048961639404
1744788550,a_star,long,11.213286876678467
1744788563,a_star,long,9.70151662826538
1744788582,a_star,long,10.250452518463135
1744788602,a_star,long,10.900072574615479
1744788648,a_star,long,11.105607748031616
1744788661,a_star,long,9.675598382949829
1744788686,a_star,long,10.802377223968506
1744788699,a_star,long,9.880587100982666
1744788713,a_star,long,9.43520998954773
